x,y,z
0.040868145345007156,-0.6336808946674143,-1.072997163020966
0.03456139438212599,-0.6378952447014473,-1.0874971997018925
0.02825388522763256,-0.642110047605983,-1.101997240360241
0.02194561900477121,-0.6463253027101065,-1.1164972849902843
0.02563790461555585,-0.6505412781204835,-1.1259973105850052
0.029330749606081074,-0.6547578530467528,-1.135497334439883
0.033024152879551544,-0.658975026313426,-1.1449973565584708
0.03671797955344391,-0.6681931086684164,-1.1594975009104498
0.04041222164462364,-0.6774122210354854,-1.1739976450612732
0.04410687854391408,-0.6866323619042038,-1.1884977890114927
0.04280125419334102,-0.6958544571874854,-1.1929979415027008
0.04149536042599135,-0.7050782509340068,-1.197498096935665
0.040189197893108444,-0.7143037390382191,-1.2019982553038928
0.038882767243167485,-0.7235309174120244,-1.206498416600912
0.05257913933684436,-0.7277590146909998,-1.2059984220963376
0.06627831412304312,-0.7319878976369486,-1.2054984246889997
0.07998028435148839,-0.7362175642174377,-1.2049984243881675
0.09368504280488175,-0.7404480124092779,-1.204498421203062
0.10739258220895224,-0.7446792402157043,-1.2039984151429506
0.1111007881319342,-0.7539119987403046,-1.2084985298715247
0.11480966630997484,-0.7631464198125615,-1.2129986442779166
0.1185192151466293,-0.7723824994843236,-1.2174987583635624
0.11722848346412465,-0.7766194920324307,-1.2169987216711906
0.11593746257641047,-0.7808572529037219,-1.216498686206562
0.11464615322026836,-0.7850957801408174,-1.2159986519666846
0.11835551012844898,-0.7793333137983969,-1.2104983381773888
0.12206552382542413,-0.7735697125939017,-1.2049980246688667
0.12577619280226174,-0.7678049791346033,-1.1994977114408296
0.11948585727988005,-0.7670396418633643,-1.2089975221384592
0.11319455190161758,-0.7662741227578197,-1.2184973380862874
0.10690227849615605,-0.7655084221608198,-1.227997159274616
0.10060903888611154,-0.7647425404140777,-1.2374969856937799
0.09931553050078142,-0.7689776969455439,-1.2369969605264006
0.09802173938631749,-0.7732136101059878,-1.2364969365593004
0.09672766625103323,-0.7774502779998548,-1.2359969137896085
0.09543331180012186,-0.7816876987399404,-1.2354968922144633
0.09413867680375737,-0.7859258704460985,-1.2349968718307367
0.09784475131292887,-0.7901647907258675,-1.2344968548443422
0.1015515335635251,-0.794404458269174,-1.2339968356666047
0.10525902179914438,-0.7986448712215378,-1.2334968143031853
0.10896721370831984,-0.797885043962275,-1.23299664456709
0.11267610810937748,-0.7971249770831311,-1.2324964728775367
0.11638570326878404,-0.7963646711754135,-1.2319962992394595
0.11509501980315118,-0.8006051055895909,-1.2314962624456365
0.11380405784428112,-0.8048462779543702,-1.23099622683455
0.11251281807553055,-0.8090881864590015,-1.2304961924034237
0.11622222043842999,-0.8033291449346625,-1.2249958714364881
0.11993225552064853,-0.7975690084012222,-1.2194955507428238
0.12364292192182881,-0.7918077792821907,-1.2139952303221562
0.12735421824706433,-0.786045459991644,-1.2084949101742108
0.12106439333184055,-0.7902838054128517,-1.2029948591834554
0.11477344855682906,-0.7945228130014085,-1.1974948140421897
0.10848138638125294,-0.7987624813031923,-1.1919947747379216
0.10218820925483718,-0.8030028088696972,-1.186494741258204
0.09589391963613932,-0.8072437942761667,-1.1809947135905396
0.10460083276350195,-0.8114848758921606,-1.1904947012278713
0.11330896429015358,-0.8157264950086011,-1.1999946863367073
0.12201831203129425,-0.8199686506616611,-1.2094946689219512
0.12572819647505334,-0.8242119218834664,-1.1989946402113398
0.1294385776885544,-0.8284557130393131,-1.1884946099665201
0.1331494548125749,-0.8327000232299161,-1.177994578190249
0.1313817819626201,-0.8369442670105502,-1.1874965579647612
0.12913580807016925,-0.8411890435168214,-1.1970006075780262
0.12641173615840845,-0.8454343517976876,-1.2065067739322373
0.11868580032084351,-0.8496804729828641,-1.2110144306644837
0.11095948922582184,-0.8539272532480844,-1.2155220894871548
0.10323280370054853,-0.8581746911404985,-1.2200297503957636
0.10050517125850734,-0.852421106574807,-1.2195356144828604
0.09777808124018093,-0.8466663489703745,-1.2190414785567385
0.09505153236391421,-0.8409104210988896,-1.2185473426177744
0.09232552335337756,-0.835153325720524,-1.2180532066663465
0.0896000529375351,-0.8293950655840013,-1.217559070702826
0.08687511978798819,-0.8236356434147992,-1.21706493472789
0.08415072319539477,-0.8228759936501757,-1.216570943174321
0.08142686135449784,-0.8221161168252581,-1.2160769494615984
0.07870353301524273,-0.82135601347083,-1.2155829535948433
0.08098546625749183,-0.8155948250702227,-1.2300873255584261
0.0832682082493159,-0.8098329905946756,-1.2445916960771302
0.08555175793574504,-0.8040705108869561,-1.2590960651530683
0.08783231550079208,-0.7933063904710985,-1.2586002924923256
0.09011432302986117,-0.7825402026132526,-1.2581045212760666
0.09239777716149537,-0.7717719521063761,-1.257608751502269
0.09968359292788802,-0.7560007242039212,-1.257111373953462
0.10697176559169906,-0.7402265262422627,-1.256614003104106
0.11426228971779244,-0.7244493650705273,-1.2561166389417404
0.12155515989307406,-0.7086692475100648,-1.2556192814539433
0.12385081871575673,-0.7128896544076005,-1.2601238865613018
0.12614779412226185,-0.7171107089939686,-1.2646284871762494
0.12844608331764742,-0.7213324098942103,-1.2691330833087693
0.1307456835174074,-0.7255547557385011,-1.2736376749688099
0.13304659199081706,-0.7297777451564506,-1.2781422621661296
0.12534712783278756,-0.7340013784567532,-1.2826497722965493
0.1176472914046466,-0.7382256534612742,-1.2871572844953119
0.10994708349136635,-0.7424505688169147,-1.291664798758169
0.11224682039466273,-0.7466763030592725,-1.291169385250325
0.11454796095161776,-0.7509027250757089,-1.290673966959871
0.11685050198873738,-0.7551298333112522,-1.2901785438981297
0.1241566224755034,-0.769359103644306,-1.2946819283051554
0.13146486006389024,-0.7835906642512223,-1.2991853125204615
0.13877521034016216,-0.7978245103572383,-1.303688696546473
0.1410880393462856,-0.8070593870752103,-1.31319338895547
0.14340189506383388,-0.8162954317111736,-1.3226980791018577
0.1457167757769905,-0.8255326423133341,-1.3322027669899237
0.14803267977498405,-0.8347710169356369,-1.3417074526239385
0.1403467654601537,-0.84401098358433,-1.3462150346478299
0.1326604794728771,-0.8532523937459102,-1.3507226202683082
0.12497382258157493,-0.8624952444359799,-1.3552302094784032
0.11728679555187348,-0.8717395326809942,-1.3597378022711657
0.10959939914661919,-0.8809852555182047,-1.3642453986396696
