Yaw,Roll,Pitch,ax,ay,az
313.125,-15.4375,-0.1875,-1.28,-0.48,0.04
313.0625,-15.625,0,-1.2,0.27,0.26
312.8125,-16,0.0625,0.15,-0.38,-0.46
312.9375,-16.1875,0.3125,-0.03,0.08,0.09
312.75,-16.4375,0.625,0.83,-0.25,-0.77
312.25,-16.75,0.9375,0.3,0.71,-0.02
77.25,-16.875,0.9375,0.82,0.26,-0.47
76.6875,-17,0.9375,0.76,-0.13,-0.53
76.4375,-16.875,0.8125,0.41,0.03,-0.38
75.875,-16.75,0.6875,-0.62,0.1,-0.04
75.125,-16.6875,0.5,-0.18,-0.74,-0.69
74.6875,-16.5,0.125,-0.37,-0.96,-0.18
74.3125,-16.3125,-0.1875,-1.49,-0.54,0.68
73.75,-16.3125,-0.5625,-0.77,-2.19,0.03
73.0625,-16.125,-0.8125,-0.75,-2.07,-0.04
72.4375,-16.1875,-0.5,-0.61,-1.84,-0.3
72,-16.25,-0.3125,-0.05,-2.28,-0.59
71.875,-16.25,-0.125,-0.05,-1.73,-0.07
71.5625,-16.25,0.125,-0.46,-1.11,0.59
71.25,-16.1875,0.375,0.31,-1.58,0.07
71.25,-15.9375,0.625,-1.24,-0.39,1.17
71.25,-15.75,0.8125,0.19,-0.95,0.23
71.125,-15.5625,1.125,-0.49,-0.39,0.67
71,-14.9375,1.75,0.02,-0.56,0.09
70.8125,-14.6875,2.1875,0.47,-0.77,-0.64
70.625,-14.3125,2.6875,-0.14,-0.08,-0.51
70.5,-13.9375,3.0625,-0.27,0.19,-1.13
70.25,-13.5625,3.1875,-0.43,0.13,-1.25
70.125,-13.125,3.1875,-0.95,0.22,-0.78
70.0625,-12.75,3.0625,-2.57,-0.01,0.99
70.125,-12.5625,2.9375,-0.61,-0.05,-0.6
70,-12.5,2.5625,-1.37,-0.86,0.61
69.6875,-12.0625,2.3125,-0.19,-2.11,0.13
69.625,-11.875,2.375,0.08,-1.94,0.01
69.5,-11.5625,2.5625,-0.26,-2.02,0.24
69.5,-11.25,2.875,-0.79,-1.61,0.37
69.5,-10.875,3.25,-1.12,-1.27,0.12
69.625,-10.4375,3.6875,-1.32,-0.89,0
69.8125,-10.0625,4.125,-1.76,-0.5,0
70,-9.75,4.5625,-1.73,-0.23,-0.25
70.125,-9.5,5,-1.27,-0.2,-0.43
70.5,-9.125,5.8125,-0.66,-0.31,-0.71
70.5625,-9.0625,6.25,-1,-0.2,-0.15
70.75,-8.9375,6.75,-0.78,-0.07,-0.13
70.9375,-8.875,7.1875,-0.63,0.11,-0.11
71.0625,-8.875,7.6875,-0.36,0.05,-0.23
71.25,-8.75,8.125,-0.08,0.35,-0.09
71.4375,-8.625,8.5,0.05,0.31,-0.17
71.5625,-8.375,8.75,-0.1,0.26,-0.07
71.75,-8.0625,8.9375,-0.38,-0.47,-0.64
71.875,-7.625,9,-0.82,-0.41,-0.83
72.3125,-6.5625,9.0625,-1.08,-0.7,-1.21
72.4375,-6.0625,9.1875,-1.82,-0.73,-1.1
72.625,-5.6875,9.25,-1.97,-1.44,-1.72
72.9375,-5.3125,9.375,-2.24,-1.37,-1.75
73.3125,-5.125,9.5,-2.03,-1.76,-2.07
73.6875,-5.0625,9.8125,-2.16,-1.61,-1.89
74.1875,-5,10.1875,-1.88,-1.57,-2.01
74.6875,-5.0625,10.625,-1.97,-1.05,-1.33
76,-5.4375,11.5625,-1.16,-0.7,-0.98
76.625,-5.75,12.0625,-0.54,-0.71,-1
77.375,-5.9375,12.5,-0.17,-0.5,-0.9
78.125,-6.0625,12.9375,-0.15,-0.16,-0.67
78.8125,-6.0625,13.375,-0.22,0.07,-0.47
79.5,-6,13.625,-0.39,0.26,-0.42
80.125,-5.8125,13.8125,-0.51,0.02,-0.54
80.75,-5.5625,13.9375,-0.87,-0.19,-0.66
81.375,-5.25,13.9375,-1.84,-0.61,-0.87
82.6875,-4.75,14.0625,-2.21,-0.6,-0.73
83.4375,-4.5625,14.0625,-1.86,-0.98,-0.89
84.125,-4.5625,14.1875,-1.77,-1.04,-0.65
84.9375,-4.5625,14.375,-1.3,-1.08,-0.72
85.8125,-4.5625,14.625,-0.97,-1.09,-0.72
86.6875,-4.625,14.9375,-0.37,-0.84,-0.75
87.6875,-4.625,15.375,-0.26,-0.53,-0.82
88.625,-4.5,15.875,-0.36,-0.2,-0.85
89.625,-4.3125,16.4375,-1,1.23,-0.98
91.5625,-4,17.5625,-0.68,1.43,-1.31
92.5625,-3.9375,18,-0.52,1.64,-1.47
93.4375,-3.875,18.375,-0.4,2.03,-1.22
94.3125,-3.875,18.5625,-0.14,1.85,-1.32
95.0625,-3.875,18.625,0.03,1.62,-1.29
95.8125,-3.8125,18.5625,0.14,1.37,-1.15
96.5,-3.75,18.3125,-0.07,0.77,-0.6
97.125,-3.6875,18.0625,-0.51,0.04,0.03
97.75,-3.5625,17.75,-0.84,-0.15,0.53
98.875,-3.375,17.25,-0.54,-0.81,0.51
99.5,-3.25,17.125,-0.49,-0.98,0.5
100.1875,-3.125,17.125,-0.3,-1.15,0.23
100.8125,-2.875,17.25,-0.43,-1.06,0.05
101.5625,-2.625,17.5,-0.69,-0.57,-0.48
102.375,-2.3125,17.875,-0.95,-0.14,-0.76
103.1875,-2,18.25,-1.14,0.18,-1.11
104.0625,-1.625,18.5625,-1.62,1.04,-1.26
105.75,-1.25,18.9375,-1.46,1.15,-1.05
106.5,-1.1875,19,-0.95,1.05,-0.89
107.375,-1.25,19,-0.3,0.88,0.03
108.125,-1.3125,19,0.26,0.58,0.19
108.8125,-1.375,18.9375,0.69,0.28,0.23
109.5,-1.3125,18.8125,1.14,0,-0.02
110.125,-1.0625,18.8125,0.74,-0.12,-0.43
110.8125,-0.625,18.75,0.11,-0.1,-0.77
111.4375,-0.0625,18.75,-1.46,0,-1.42
112.75,0.9375,18.8125,-2.65,0.01,-1.47
113.4375,1.25,18.875,-2.88,-0.05,-1.21
114.125,1.3125,18.9375,-2.72,-0.08,-0.86
114.9375,1.1875,19.0625,-1.92,0.04,0.46
115.8125,0.9375,19.1875,-0.58,0.66,0.82
116.8125,0.625,19.375,0.47,0.49,1.04
117.625,0.3125,19.6875,2.34,0.97,0.52
118.5625,0.25,19.9375,2.13,1.1,-0.05
119.375,0.5625,20.0625,1.57,1.2,-0.83
120.5625,1.875,20.3125,0.66,1.43,-1.5
121.0625,2.8125,20.1875,-1.78,1.27,-2.39
121.4375,3.75,19.875,-2.85,0.91,-2.6
121.8125,4.5,19.375,-3.48,0.21,-2.74
122.125,5,18.6875,-3.68,-0.65,-2.67
122.5,5.1875,18.0625,-2.74,-2.51,-1.12
123.0625,5.1875,17.4375,-2.48,-2.4,-0.22
123.8125,5,17,-0.66,-2.31,0.27
125.8125,4.4375,16.75,-0.4,-1.62,0.75
127,4.25,17.0625,0.08,-0.99,0.64
128.25,4.25,17.5625,0.1,-0.01,0.59
129.625,4.4375,18.125,-0.06,1.59,0
130.875,4.75,18.75,-0.22,2.27,-0.54
132,5.125,19.3125,-0.31,2.76,-1.18
133.125,5.5,19.625,-1.04,3.02,-1.95
134,5.875,19.75,-1.44,2.87,-1.71
135.0625,6.1875,19.6875,-1.51,2.41,-1.53
135.75,6.375,19.4375,-1.3,1.81,-1.38
136.875,6.3125,18.5,-0.71,0.59,-0.67
137.375,6.25,17.875,-0.62,0.09,-0.22
138,6.125,17.25,-0.36,-0.48,0.08
138.5,6.125,16.6875,-0.37,-1.04,0.81
139.125,6.1875,16.25,-0.25,-1.25,0.69
139.8125,6.3125,15.9375,-0.47,-1.16,0.68
140.5625,6.5625,15.9375,-1,-0.05,-0.7
141.5625,6.875,16.0625,-1.37,0.43,-1.12
142.5,7.25,16.25,-1.61,0.9,-1.56
144.3125,7.9375,16.6875,-1.82,1.26,-1.8
145.1875,8.125,16.875,-1.93,1.67,-1.73
146,8.25,16.875,-2,1.94,-1.29
146.8125,8.1875,16.6875,-1.68,1.74,-0.99
147.5625,8.0625,16.375,-1.13,1.3,-0.79
148.25,7.875,15.9375,-0.07,0.17,0.34
148.9375,7.75,15.4375,0.12,-0.15,0.42
149.6875,7.8125,15.0625,-0.01,-0.15,0.39
150.375,7.875,14.6875,-0.33,-0.02,0.13
151.875,8.25,14.375,-0.53,0.17,-0.33
152.6875,8.5625,14.5,-1,0.64,-0.56
153.5625,8.75,14.625,-1.55,1.22,-1.17
154.375,8.9375,14.625,-1.74,1.62,-1.2
155.125,8.9375,14.5625,-1.62,1.72,-1.16
155.875,8.875,14.375,-0.59,1.57,-0.67
156.5625,8.75,14.1875,-0.19,1.36,-0.45
157.1875,8.625,13.875,0.14,1.11,-0.26
158.4375,8.5625,13.125,0.43,0.79,-0.21
159.0625,8.6875,12.8125,0.32,0.49,0.01
159.625,8.875,12.5,0.02,0.41,0.09
160.375,9.125,12.3125,-0.15,0.46,-0.03
160.9375,9.3125,12.1875,-0.8,0.72,-0.16
161.5625,9.5625,12.0625,-0.63,0.67,-0.71
162.125,9.75,11.875,-0.81,0.65,-1.15
162.6875,10,11.625,-0.81,0.44,-1.45
163.9375,10.3125,10.9375,-0.82,0.25,-1.55
164.5625,10.4375,10.6875,-1.09,0.32,-1.43
165.1875,10.4375,10.4375,-1.47,0.51,-1.05
165.875,10.375,10.1875,-1.62,0.77,-0.26
166.625,10.1875,9.9375,-1.22,0.69,-0.04
167.3125,9.9375,9.625,-0.77,0.59,0.22
168,9.75,9.375,0.46,0.41,0.5
169.375,9.6875,8.9375,0.53,0.47,0.54
170.0625,9.8125,8.6875,0.62,0.48,0.19
170.75,10.125,8.625,-0.04,0.99,-0.26
171.5,10.4375,8.5,-0.56,1.4,-0.47
172.1875,10.75,8.375,-0.91,1.75,-0.71
172.75,11,8.1875,-0.8,1.77,-1.25
173.5,11.1875,7.9375,-0.91,2.06,-1.45
174,11.25,7.625,-0.95,1.75,-0.97
174.4375,11.3125,7.1875,-0.54,1.37,-0.95
175.25,11.25,6.0625,-0.21,0.85,-0.57
175.625,11.1875,5.5625,0.03,0.54,-0.53
176.0625,11.25,5,0.13,0.26,-0.44
176.5,11.25,4.5625,0.01,-0.1,-0.38
176.9375,11.3125,4.1875,-0.23,-0.22,-0.45
177.5,11.4375,3.875,-0.61,-0.15,-0.47
178.25,11.5625,3.625,-0.92,-0.15,-0.65
178.875,11.625,3.4375,-1.64,0.27,-1.02
180.1875,11.5,3.125,-1.27,0.19,-1.31
180.875,11.3125,3,-1.09,0.22,-1.4
181.625,11,2.875,-0.75,0.68,-1.08
182.25,10.6875,2.75,-0.61,0.8,-0.87
183,10.375,2.625,-0.66,1.05,-0.53
183.6875,10.0625,2.4375,-0.3,1.09,-0.52
184.3125,9.75,2.3125,-0.1,1.09,-0.53
185,9.5625,2.125,0.18,1.04,-0.82
185.625,9.375,2,-0.29,1.04,-1.31
186.875,9.125,1.6875,-0.64,1.12,-1.28
187.375,9,1.5,-0.96,0.97,-1.31
187.875,8.8125,1.3125,-1.15,0.71,-1.38
188.375,8.625,1.0625,-1.57,0.42,-1.01
188.8125,8.3125,0.875,-1.49,0.11,-0.95
189.3125,7.9375,0.625,-1.5,-0.03,-0.42
189.875,7.5625,0.4375,-1.18,-0.14,-0.01
190.625,7.125,0.375,-0.91,0.01,0.21
191.25,6.625,0.3125,-0.56,0.31,0.43
192.625,5.5,0.5625,-0.12,0.54,0.48
193.3125,5.125,0.75,0.28,1.36,0.57
194,4.8125,0.9375,0.37,1.65,0.47
194.5625,4.625,1.0625,0.17,1.96,0.35
195.125,4.5625,1.125,-0.28,2.15,-0.13
195.625,4.5625,1.125,-0.72,2.28,-0.1
196.0625,4.5625,1.0625,-1.02,1.9,-0.34
196.5625,4.5,0.875,-0.96,1.39,-0.33
196.875,4.4375,0.625,-0.71,1.1,-0.29
197.5,4.0625,0.125,-0.46,0.9,-0.1
197.8125,3.875,0,0.1,0.6,-0.22
198.125,3.6875,-0.125,0.31,0.85,0.05
198.5,3.5625,-0.125,0.31,1.13,0.05
198.8125,3.5,-0.0625,0.07,1.48,0.18
199.125,3.5,-0.0625,-0.14,1.84,0.18
199.375,3.5,-0.125,-0.16,1.69,-0.52
199.625,3.625,-0.3125,-0.13,1.33,-0.85
199.75,3.75,-0.6875,-0.48,0.5,-1.16
199.8125,4.0625,-1.625,-0.75,0.07,-1.2
199.875,4.1875,-2.125,-1.19,-0.18,-0.94
200,4.25,-2.4375,-1.58,-0.32,-0.69
200.0625,4.125,-2.75,-1.81,-0.52,-0.21
200.25,3.9375,-2.9375,-1.78,-0.42,0.19
200.4375,3.625,-3,-1.03,-0.4,0.57
200.6875,3.25,-3.125,-0.02,-0.27,0.7
200.9375,2.8125,-3.1875,0.46,-0.2,0.48
201.3125,2.5,-3.1875,0.75,0.06,0.32
202.125,2,-2.8125,0.82,0.58,0.23
202.5,1.8125,-2.375,0.41,1.87,0.1
202.9375,1.625,-1.875,0.15,2.73,0.19
203.25,1.4375,-1.3125,-0.16,3.52,0.45
203.375,1.25,-0.9375,0.04,4.06,0.71
203.3125,1,-0.6875,0.46,3.8,0.55
203.1875,0.875,-0.8125,0.93,3.34,0.32
202.9375,0.9375,-1.1875,0.77,2.8,0.42
