Yaw,Roll,Pitch,ax,ay,az
255.75,-9.6875,3.8125,0.44,1.5,-1.67
255.5625,-9.9375,3.75,0.53,1.79,-1.47
255.375,-10.1875,3.5,0.56,1.78,-1.05
255.125,-10.5,3.1875,0.81,1.52,-0.66
254.875,-10.8125,2.625,1.08,1.17,-0.15
254.6875,-11.0625,2.0625,1.9,0.03,0.58
254.4375,-11.25,1.4375,2.4,-0.75,1.09
254.1875,-11.3125,1,2.39,-0.89,1.18
253.875,-11.3125,0.6875,2.15,-0.87,0.96
253.4375,-10.75,0.375,1.87,-0.69,0.56
253.1875,-10.375,0.4375,1.5,-0.47,0.11
252.9375,-10,0.5625,0.63,0.28,-0.6
252.5625,-9.6875,0.6875,0.43,0.49,-1.11
252.25,-9.4375,0.6875,0.06,0.72,-1.26
251.9375,-9.375,0.625,0.36,0.52,-0.77
251.625,-9.375,0.375,0.9,0.21,-0.51
251.3125,-9.5,0,1.36,-0.07,-0.03
250.625,-9.8125,-0.75,1.82,-0.39,0.39
250.375,-9.8125,-1.1875,2.5,-0.81,0.88
250.0625,-9.75,-1.5,2.56,-0.89,0.96
249.6875,-9.5625,-1.6875,2.58,-0.87,0.86
249.25,-9.25,-1.6875,2.37,-0.72,0.57
248.8125,-8.9375,-1.625,0.45,0.87,0.37
248.5625,-8.5625,-1.5,0.79,0.71,-0.76
248.3125,-8.25,-1.625,0.12,0.16,-0.81
247.1875,-7.8125,-2.5625,-0.12,-0.14,-0.44
246.625,-7.75,-3.25,-0.02,-0.58,-0.11
246,-7.6875,-4,0.15,-1.27,0.18
245.625,-7.75,-4.625,-0.05,-1.12,1.38
245.375,-7.8125,-5.25,0.74,-2.35,0.54
244.875,-7.9375,-5.6875,0.64,-2.41,1.31
243.625,-8,-6.0625,0.29,-2.38,1.11
243.0625,-7.9375,-6.0625,-0.22,-2.15,1.11
242.5,-7.9375,-6,-0.6,-2.05,1.07
241.9375,-8,-5.9375,-0.64,-1.95,1.04
241.375,-8.1875,-5.8125,-0.08,-2.06,1
240.875,-8.4375,-5.625,0.7,-1.85,0.91
240.3125,-8.625,-5.3125,0.92,-1.34,0.47
239.8125,-8.75,-4.875,0.84,-0.77,0.21
238.8125,-8.6875,-3.8125,0.54,-0.16,0.13
238.3125,-8.625,-3.375,0.45,0.12,-0.16
237.75,-8.5,-3.125,0.58,0.15,-0.78
237.25,-8.3125,-3,0.51,-0.08,-1.08
236.625,-8.0625,-3,0.24,-0.2,-1.11
236,-7.8125,-3,-0.35,-0.78,-1.49
235.375,-7.5625,-3,-0.59,-0.97,-1.51
234.75,-7.375,-3.0625,-0.79,-1.15,-1.52
233.5625,-7.1875,-3.0625,-0.8,-1.2,-1.58
233,-7.1875,-3,-0.82,-1.23,-1.75
232.4375,-7.1875,-3,-0.92,-1.1,-1.62
232,-7.1875,-3.0625,-0.89,-1.13,-1.6
231.5625,-7.1875,-3.25,-0.9,-1.37,-1.18
231.125,-7.3125,-3.4375,-0.5,-1.76,-1.18
230.6875,-7.5,-3.5625,0.05,-1.82,-0.89
229.9375,-7.8125,-3.4375,0.24,-1.31,-0.85
229.625,-7.9375,-3.1875,0.27,-0.71,-0.83
229.25,-8.125,-2.875,0.36,-0.21,-0.87
