Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
41580,-0.05,-0.01,9.63,-0.0,0.0,-0.0,72.87,9.69,34.0
41582,-0.05,-0.01,9.63,-0.0,0.0,-0.0,72.87,9.69,34.0
41588,-0.02,-0.01,9.51,-0.0,0.0,0.0,72.87,9.69,34.0
41590,-0.02,-0.01,9.51,-0.0,0.0,0.0,72.87,9.69,34.0
41592,-0.02,-0.01,9.51,-0.0,0.0,0.0,72.87,9.69,34.0
41598,-0.04,0.0,9.5,-0.0,0.0,0.0,72.87,9.69,34.0
41600,-0.04,0.0,9.5,-0.0,0.0,0.0,72.87,9.69,34.0
41601,-0.04,0.0,9.5,-0.0,0.0,0.0,72.87,9.69,34.0
41608,-0.05,0.0,9.5,-0.01,0.0,0.0,72.87,9.69,34.0
41609,-0.05,0.0,9.5,-0.01,0.0,0.0,72.87,9.69,34.0
41611,-0.05,0.0,9.5,-0.01,0.0,0.0,72.87,9.69,34.0
41616,-0.05,0.0,9.5,-0.0,-0.01,0.0,72.87,9.69,34.0
41619,-0.05,-0.08,9.57,-0.0,-0.01,0.0,72.87,9.69,34.0
41621,-0.05,-0.08,9.57,-0.0,-0.01,0.0,72.87,9.69,34.0
41622,-0.05,-0.08,9.57,-0.0,-0.01,0.0,72.87,9.69,34.0
41624,-0.05,-0.08,9.57,-0.0,-0.01,0.0,72.87,9.69,34.0
41627,-0.05,-0.08,9.57,-0.0,-0.01,-0.0,73.69,10.5,34.0
41629,-0.01,-0.08,9.63,-0.0,-0.01,-0.0,73.69,10.5,34.0
41631,-0.01,-0.08,9.63,-0.0,-0.01,-0.0,73.69,10.5,34.0
41632,-0.01,-0.08,9.63,-0.0,-0.01,-0.0,73.69,10.5,34.0
41638,-0.03,-0.04,9.71,-0.0,-0.01,-0.0,73.69,10.5,34.0
41640,-0.03,-0.04,9.71,-0.0,-0.01,-0.0,73.69,10.5,34.0
41642,-0.03,-0.04,9.71,-0.0,-0.01,-0.0,73.69,10.5,34.0
41648,-0.02,-0.06,9.68,-0.01,-0.01,0.0,73.69,10.5,34.0
41650,-0.02,-0.06,9.68,-0.01,-0.01,0.0,73.69,10.5,34.0
41652,-0.02,-0.06,9.68,-0.01,-0.01,0.0,73.69,10.5,34.0
41658,-0.04,-0.05,9.54,-0.0,0.01,0.0,73.69,10.5,34.0
41660,-0.04,-0.05,9.54,-0.0,0.01,0.0,73.69,10.5,34.0
41662,-0.04,-0.05,9.54,-0.0,0.01,0.0,73.69,10.5,34.0
41668,-0.04,-0.03,9.52,-0.0,0.0,0.0,73.69,10.5,34.0
41670,-0.04,-0.03,9.52,-0.0,0.0,0.0,73.69,10.5,34.0
41672,-0.04,-0.03,9.52,-0.0,0.0,0.0,73.69,10.5,34.0
41673,-0.04,-0.03,9.52,-0.0,0.0,0.0,73.69,10.5,34.0
41675,-0.04,-0.03,9.52,-0.0,0.0,0.0,72.19,9.38,34.0
41678,-0.05,-0.02,9.51,-0.01,-0.0,0.0,72.19,9.38,34.0
41680,-0.05,-0.02,9.51,-0.01,-0.0,0.0,72.19,9.38,34.0
41682,-0.05,-0.02,9.51,-0.01,-0.0,0.0,72.19,9.38,34.0
41688,-0.05,0.01,9.52,-0.01,-0.0,0.0,72.19,9.38,34.0
41690,-0.05,0.01,9.52,-0.01,-0.0,0.0,72.19,9.38,34.0
41692,-0.05,0.01,9.52,-0.01,-0.0,0.0,72.19,9.38,34.0
41696,-0.05,0.01,9.52,-0.01,0.0,0.0,72.19,9.38,34.0
41699,-0.01,0.01,9.56,-0.01,0.0,0.0,72.19,9.38,34.0
41701,-0.01,0.01,9.56,-0.01,0.0,0.0,72.19,9.38,34.0
