Yaw,Roll,Pitch,x,y,z
16.5625,-5.875,120.4375,-0.650858,-1.12449,-0.784862
16.375,-6.0625,120.1875,-0.682141,-1.238721,-0.899508
16.375,-6.125,120,-0.708545,-1.335806,-0.912975
16.5,-6.125,119.75,-0.541126,-1.496986,-1.092718
16.625,-6.0625,119.5625,-0.735061,-1.528405,-1.345061
16.875,-5.875,119.375,-0.999335,-1.578666,-1.371509
17.0625,-5.6875,119.375,-1.171484,-1.618877,-1.463379
17.375,-5.5,119.4375,-1.315869,-1.690609,-1.58731
17.8125,-5.25,119.625,-1.442909,-1.746509,-1.571136
18.3125,-4.9375,119.8125,-1.261436,-1.665844,-1.171887
19,-4.5625,120.0625,-1.055003,-1.473502,-1.133035
20.75,-3.6875,120.6875,-1.181264,-1.437075,-1.15327
21.8125,-3.125,121,-1.263912,-1.16507,-0.906646
22.9375,-2.5625,121.3125,-1.163973,-1.465195,-0.975439
24,-2.0625,121.75,-1.368511,-1.299656,-0.869085
25.125,-1.5625,122.1875,-1.110945,-1.105352,-0.78791
26.1875,-1.0625,122.6875,-1.194369,-1.021914,-0.79688
28.375,-0.125,123.75,-1.149538,-0.916463,-0.652083
29.4375,0.25,124.375,-1.199253,-0.817995,-0.291801
30.625,0.6875,124.9375,-0.985136,-0.621306,-0.142915
31.8125,1.125,125.5625,-0.814012,-0.494162,-0.141312
32.8125,1.375,126.5,-0.621893,-0.530255,-0.129496
35.125,2.125,127.75,-0.434435,-0.475078,-0.266647
36.25,2.4375,128.5625,-0.512453,-0.65146,-0.136413
37.3125,2.6875,129.25,-0.494876,-0.588543,-0.339732
38.4375,3.0625,129.9375,-0.335049,-0.474915,-0.276264
39.5,3.3125,130.5625,-0.312844,-0.507782,-0.361306
40.4375,3.5625,131.1875,-0.356596,-0.527902,-0.380236
41.375,3.8125,131.875,-0.355726,-0.494852,-0.459603
43.25,4.3125,133.375,-0.444396,-0.534027,-0.514733
44.3125,4.625,134.0625,-0.4907,-0.564716,-0.533137
45.5,5,134.8125,-0.512115,-0.538963,-0.482088
211.4375,5.375,135.5,-0.454063,-0.490606,-0.398758
211.4375,5.75,136.25,-0.446357,-0.528806,-0.59083
211.3125,6.6875,137.625,-0.690186,-0.646759,-0.848991
211.125,7.1875,138.375,-1.018294,-0.757492,-0.919513
210.9375,7.6875,139.125,-1.170564,-0.746439,-0.759912
210.6875,8.125,139.8125,-1.130714,-0.671467,-0.717893
210.5625,8.5625,140.5625,-1.340202,-0.679956,-0.792226
210.375,9.75,142.0625,-1.424917,-0.749393,-0.676643
210.375,10.5625,142.75,-1.291463,-0.783088,-0.607099
210.375,11.4375,143.5,-1.136389,-0.80411,-0.471412
210.3125,12.3125,144.25,-1.12039,-0.737257,-0.440025
210.25,13.1875,145,-1.392828,-0.602842,-0.252846
210.1875,14.0625,145.75,-1.509696,-0.451694,0.113276
210.0625,16,147.25,-1.635603,-0.32568,0.390838
210,17,147.9375,-1.701836,-0.273152,0.586775
210,18.0625,148.625,-1.591107,-0.253749,0.38735
209.9375,19.0625,149.25,-1.509438,-0.308792,0.285381
209.875,20.0625,149.9375,-1.662001,-0.405742,0.552468
209.8125,21.0625,150.5625,-1.810235,-0.229776,1.018417
209.625,23.125,151.9375,-1.949661,-0.079053,1.029587
209.5625,24.1875,152.5,-1.957203,-0.114036,0.75852
209.5,25.3125,153.125,-1.945763,-0.023656,0.614364
209.5,26.4375,153.75,-1.834348,-0.058536,1.056545
209.5,27.625,154.375,-1.959497,-0.112259,1.087288
209.5,30.3125,155.5,-1.756638,-0.019316,0.996064
209.5,31.6875,156,-1.827141,-0.022572,0.79684
209.5625,33.125,156.5625,-1.759288,-0.027422,0.628148
209.6875,34.5625,157.0625,-1.206059,-0.209246,0.254698
209.8125,36,157.625,-1.010318,-0.27354,0.371235
210.1875,38.625,158.6875,-0.971785,-0.31579,0.512291
210.3125,39.6875,159.25,-1.105975,-0.136329,1.076742
